domain,port,scheme,pool_name,coin,algorithm,region,source_type,source_url,confidence,status,first_seen,last_seen,notes
asia-erg.2miners.com,8888,stratum+tcp,2Miners,ERG,Autolykos v2,Asia,official,https://erg.2miners.com/help,confirmed,active,2026-04-17,2026-04-17,Discovered by 2miners_erg_help using html_stratum_extract. Official ERG setup and server table.
asia-erg.2miners.com,18888,stratum+ssl,2Miners,ERG,Autolykos v2,Asia,official,https://erg.2miners.com/help,confirmed,active,2026-04-17,2026-04-17,Discovered by 2miners_erg_help using html_stratum_extract. Official ERG setup and server table.
erg.2miners.com,8888,stratum+tcp,2Miners,ERG,Autolykos v2,Global,official,https://erg.2miners.com/help,confirmed,active,2026-04-17,2026-04-17,Discovered by 2miners_erg_help using html_stratum_extract. Official ERG setup and server table.
erg.2miners.com,18888,stratum+ssl,2Miners,ERG,Autolykos v2,Global,official,https://erg.2miners.com/help,confirmed,active,2026-04-17,2026-04-17,Discovered by 2miners_erg_help using html_stratum_extract. Official ERG setup and server table.
us-erg.2miners.com,8888,stratum+tcp,2Miners,ERG,Autolykos v2,USA,official,https://erg.2miners.com/help,confirmed,active,2026-04-17,2026-04-17,Discovered by 2miners_erg_help using html_stratum_extract. Official ERG setup and server table.
us-erg.2miners.com,18888,stratum+ssl,2Miners,ERG,Autolykos v2,USA,official,https://erg.2miners.com/help,confirmed,active,2026-04-17,2026-04-17,Discovered by 2miners_erg_help using html_stratum_extract. Official ERG setup and server table.
asia-ethw.2miners.com,2020,stratum+tcp,2Miners,ETHW,Ethash,Asia,official,https://ethw.2miners.com/help,confirmed,active,2026-04-17,2026-04-17,Discovered by 2miners_ethw_help using html_stratum_extract. Official ETHW setup and server table.
asia-ethw.2miners.com,12020,stratum+ssl,2Miners,ETHW,Ethash,Asia,official,https://ethw.2miners.com/help,confirmed,active,2026-04-17,2026-04-17,Discovered by 2miners_ethw_help using html_stratum_extract. Official ETHW setup and server table.
ethw.2miners.com,2020,stratum+tcp,2Miners,ETHW,Ethash,Global,official,https://ethw.2miners.com/help,confirmed,active,2026-04-17,2026-04-17,Discovered by 2miners_ethw_help using html_stratum_extract. Official ETHW setup and server table.
ethw.2miners.com,12020,stratum+ssl,2Miners,ETHW,Ethash,Global,official,https://ethw.2miners.com/help,confirmed,active,2026-04-17,2026-04-17,Discovered by 2miners_ethw_help using html_stratum_extract. Official ETHW setup and server table.
us-ethw.2miners.com,2020,stratum+tcp,2Miners,ETHW,Ethash,USA,official,https://ethw.2miners.com/help,confirmed,active,2026-04-17,2026-04-17,Discovered by 2miners_ethw_help using html_stratum_extract. Official ETHW setup and server table.
us-ethw.2miners.com,12020,stratum+ssl,2Miners,ETHW,Ethash,USA,official,https://ethw.2miners.com/help,confirmed,active,2026-04-17,2026-04-17,Discovered by 2miners_ethw_help using html_stratum_extract. Official ETHW setup and server table.
stratum-etc.antpool.com,25,stratum+tcp,AntPool,ETC,Etchash,Global,official,https://antpoolsupport-hc.zendesk.com/hc/en-us/articles/5984283054745-ETC-Mining-Instruction,confirmed,active,2026-04-17,2026-04-17,Discovered by antpool_etc using html_stratum_extract. Official ETC setup guide.
stratum-etc.antpool.com,443,stratum+tcp,AntPool,ETC,Etchash,Global,official,https://antpoolsupport-hc.zendesk.com/hc/en-us/articles/5984283054745-ETC-Mining-Instruction,confirmed,active,2026-04-17,2026-04-17,Discovered by antpool_etc using html_stratum_extract. Official ETC setup guide.
stratum-etc.antpool.com,8008,stratum+tcp,AntPool,ETC,Etchash,Global,official,https://antpoolsupport-hc.zendesk.com/hc/en-us/articles/5984283054745-ETC-Mining-Instruction,confirmed,active,2026-04-17,2026-04-17,Discovered by antpool_etc using html_stratum_extract. Official ETC setup guide.
aleo.f2pool.com,4400,stratum+tcp,F2Pool,ALEO,Aleo,Global,official,https://f2pool.zendesk.com/hc/en-us/articles/360058887912-Mining-pools-info-payout-schemes-and-thresholds-at-f2pool,confirmed,active,2026-04-17,2026-04-17,Discovered by f2pool_pool_info using html_stratum_extract. Official multi-coin pool URL table.
aleo.f2pool.com,4420,stratum+ssl,F2Pool,ALEO,Aleo,Global,official,https://f2pool.zendesk.com/hc/en-us/articles/360058887912-Mining-pools-info-payout-schemes-and-thresholds-at-f2pool,confirmed,active,2026-04-17,2026-04-17,Discovered by f2pool_pool_info using html_stratum_extract. Official multi-coin pool URL table.
aleo.f2pool.com,4420,stratum+tcp,F2Pool,ALEO,Aleo,Global,official,https://f2pool.zendesk.com/hc/en-us/articles/360058887912-Mining-pools-info-payout-schemes-and-thresholds-at-f2pool,confirmed,active,2026-04-17,2026-04-17,Discovered by f2pool_pool_info using html_stratum_extract. Official multi-coin pool URL table.
aleo.f2pool.com,4430,stratum+tcp,F2Pool,ALEO,Aleo,Global,official,https://f2pool.zendesk.com/hc/en-us/articles/360058887912-Mining-pools-info-payout-schemes-and-thresholds-at-f2pool,confirmed,active,2026-04-17,2026-04-17,Discovered by f2pool_pool_info using html_stratum_extract. Official multi-coin pool URL table.
alph-asia.f2pool.com,5600,stratum+tcp,F2Pool,ALPH,Blake3,Asia,official,https://f2pool.zendesk.com/hc/en-us/articles/360058887912-Mining-pools-info-payout-schemes-and-thresholds-at-f2pool,confirmed,active,2026-04-17,2026-04-17,Discovered by f2pool_pool_info using html_stratum_extract. Official multi-coin pool URL table.
alph-asia.f2pool.com,5630,stratum+tcp,F2Pool,ALPH,Blake3,Asia,official,https://f2pool.zendesk.com/hc/en-us/articles/360058887912-Mining-pools-info-payout-schemes-and-thresholds-at-f2pool,confirmed,active,2026-04-17,2026-04-17,Discovered by f2pool_pool_info using html_stratum_extract. Official multi-coin pool URL table.
b4c.f2pool.com,1228,stratum+tcp,F2Pool,BCH,SHA-256,Global,official,https://f2pool.zendesk.com/hc/en-us/articles/360058887912-Mining-pools-info-payout-schemes-and-thresholds-at-f2pool,confirmed,active,2026-04-17,2026-04-17,Discovered by f2pool_pool_info using html_stratum_extract. Official multi-coin pool URL table.
btc-africa.f2pool.com,1314,stratum+tcp,F2Pool,BTC,SHA-256,Africa,official,https://f2pool.zendesk.com/hc/en-us/articles/360058887912-Mining-pools-info-payout-schemes-and-thresholds-at-f2pool; https://f2pool.zendesk.com/hc/en-us/articles/360058669631-BTC-mining-guide,confirmed,active,2026-04-17,2026-04-17,Discovered by f2pool_pool_info using html_stratum_extract. Official multi-coin pool URL table.
btc-asia.f2pool.com,1314,stratum+tcp,F2Pool,BTC,SHA-256,Asia,official,https://f2pool.zendesk.com/hc/en-us/articles/360058887912-Mining-pools-info-payout-schemes-and-thresholds-at-f2pool; https://f2pool.zendesk.com/hc/en-us/articles/360058669631-BTC-mining-guide,confirmed,active,2026-04-17,2026-04-17,Discovered by f2pool_pool_info using html_stratum_extract. Official multi-coin pool URL table.
btc-euro.f2pool.com,1314,stratum+tcp,F2Pool,BTC,SHA-256,Europe,official,https://f2pool.zendesk.com/hc/en-us/articles/360058887912-Mining-pools-info-payout-schemes-and-thresholds-at-f2pool; https://f2pool.zendesk.com/hc/en-us/articles/360058669631-BTC-mining-guide,confirmed,active,2026-04-17,2026-04-17,Discovered by f2pool_pool_info using html_stratum_extract. Official multi-coin pool URL table.
btc-latin.f2pool.com,1314,stratum+tcp,F2Pool,BTC,SHA-256,Latin America,official,https://f2pool.zendesk.com/hc/en-us/articles/360058887912-Mining-pools-info-payout-schemes-and-thresholds-at-f2pool; https://f2pool.zendesk.com/hc/en-us/articles/360058669631-BTC-mining-guide,confirmed,active,2026-04-17,2026-04-17,Discovered by f2pool_pool_info using html_stratum_extract. Official multi-coin pool URL table.
btc-na.f2pool.com,1314,stratum+tcp,F2Pool,BTC,SHA-256,North America,official,https://f2pool.zendesk.com/hc/en-us/articles/360058887912-Mining-pools-info-payout-schemes-and-thresholds-at-f2pool; https://f2pool.zendesk.com/hc/en-us/articles/360058669631-BTC-mining-guide,confirmed,active,2026-04-17,2026-04-17,Discovered by f2pool_pool_info using html_stratum_extract. Official multi-coin pool URL table.
btc.f2pool.com,25,stratum+tcp,F2Pool,BTC,SHA-256,Global,official,https://f2pool.zendesk.com/hc/en-us/articles/360058669631-BTC-mining-guide,confirmed,active,2026-04-17,2026-04-17,Discovered by f2pool_btc_guide using html_stratum_extract. Official BTC-specific setup guide.
btc.f2pool.com,1314,stratum+tcp,F2Pool,BTC,SHA-256,Global,official,https://f2pool.zendesk.com/hc/en-us/articles/360058669631-BTC-mining-guide,confirmed,active,2026-04-17,2026-04-17,Discovered by f2pool_btc_guide using html_stratum_extract. Official BTC-specific setup guide.
btc.f2pool.com,3333,stratum+tcp,F2Pool,BTC,SHA-256,Global,official,https://f2pool.zendesk.com/hc/en-us/articles/360058887912-Mining-pools-info-payout-schemes-and-thresholds-at-f2pool; https://f2pool.zendesk.com/hc/en-us/articles/360058669631-BTC-mining-guide,confirmed,active,2026-04-17,2026-04-17,Discovered by f2pool_pool_info using html_stratum_extract. Official multi-coin pool URL table.
btcssl.f2pool.com,1300,stratum+ssl,F2Pool,BTC,SHA-256,Global,official,https://f2pool.zendesk.com/hc/en-us/articles/360058887912-Mining-pools-info-payout-schemes-and-thresholds-at-f2pool; https://f2pool.zendesk.com/hc/en-us/articles/360058669631-BTC-mining-guide,confirmed,active,2026-04-17,2026-04-17,Discovered by f2pool_pool_info using html_stratum_extract. Official multi-coin pool URL table.
cfx.f2pool.com,6800,stratum+tcp,F2Pool,CFX,Octopus,Global,official,https://f2pool.zendesk.com/hc/en-us/articles/360058887912-Mining-pools-info-payout-schemes-and-thresholds-at-f2pool,confirmed,active,2026-04-17,2026-04-17,Discovered by f2pool_pool_info using html_stratum_extract. Official multi-coin pool URL table.
cfxssl.f2pool.com,6820,stratum+ssl,F2Pool,CFX,Octopus,Global,official,https://f2pool.zendesk.com/hc/en-us/articles/360058887912-Mining-pools-info-payout-schemes-and-thresholds-at-f2pool,confirmed,active,2026-04-17,2026-04-17,Discovered by f2pool_pool_info using html_stratum_extract. Official multi-coin pool URL table.
ckb.f2pool.com,4300,stratum+tcp,F2Pool,CKB,Eaglesong,Global,official,https://f2pool.zendesk.com/hc/en-us/articles/360058887912-Mining-pools-info-payout-schemes-and-thresholds-at-f2pool,confirmed,active,2026-04-17,2026-04-17,Discovered by f2pool_pool_info using html_stratum_extract. Official multi-coin pool URL table.
dash.f2pool.com,5588,stratum+tcp,F2Pool,DASH,X11,Global,official,https://f2pool.zendesk.com/hc/en-us/articles/360058887912-Mining-pools-info-payout-schemes-and-thresholds-at-f2pool,confirmed,active,2026-04-17,2026-04-17,Discovered by f2pool_pool_info using html_stratum_extract. Official multi-coin pool URL table.
etc-asia.f2pool.com,8008,stratum+tcp,F2Pool,ETC,Etchash,Asia,official,https://f2pool.zendesk.com/hc/en-us/articles/360058887912-Mining-pools-info-payout-schemes-and-thresholds-at-f2pool,confirmed,active,2026-04-17,2026-04-17,Discovered by f2pool_pool_info using html_stratum_extract. Official multi-coin pool URL table.
etc-euro.f2pool.com,8008,stratum+tcp,F2Pool,ETC,Etchash,Europe,official,https://f2pool.zendesk.com/hc/en-us/articles/360058887912-Mining-pools-info-payout-schemes-and-thresholds-at-f2pool,confirmed,active,2026-04-17,2026-04-17,Discovered by f2pool_pool_info using html_stratum_extract. Official multi-coin pool URL table.
etc-na.f2pool.com,8008,stratum+tcp,F2Pool,ETC,Etchash,North America,official,https://f2pool.zendesk.com/hc/en-us/articles/360058887912-Mining-pools-info-payout-schemes-and-thresholds-at-f2pool,confirmed,active,2026-04-17,2026-04-17,Discovered by f2pool_pool_info using html_stratum_extract. Official multi-coin pool URL table.
etc.f2pool.com,8008,stratum+tcp,F2Pool,ETC,Etchash,Global,official,https://f2pool.zendesk.com/hc/en-us/articles/360058887912-Mining-pools-info-payout-schemes-and-thresholds-at-f2pool,confirmed,active,2026-04-17,2026-04-17,Discovered by f2pool_pool_info using html_stratum_extract. Official multi-coin pool URL table.
etcssl.f2pool.com,8180,stratum+ssl,F2Pool,ETC,Etchash,Global,official,https://f2pool.zendesk.com/hc/en-us/articles/360058887912-Mining-pools-info-payout-schemes-and-thresholds-at-f2pool,confirmed,active,2026-04-17,2026-04-17,Discovered by f2pool_pool_info using html_stratum_extract. Official multi-coin pool URL table.
ethw.f2pool.com,6688,stratum+tcp,F2Pool,ETHW,Ethash,Global,official,https://f2pool.zendesk.com/hc/en-us/articles/360058887912-Mining-pools-info-payout-schemes-and-thresholds-at-f2pool,confirmed,active,2026-04-17,2026-04-17,Discovered by f2pool_pool_info using html_stratum_extract. Official multi-coin pool URL table.
ethwssl.f2pool.com,6698,stratum+ssl,F2Pool,ETHW,Ethash,Global,official,https://f2pool.zendesk.com/hc/en-us/articles/360058887912-Mining-pools-info-payout-schemes-and-thresholds-at-f2pool,confirmed,active,2026-04-17,2026-04-17,Discovered by f2pool_pool_info using html_stratum_extract. Official multi-coin pool URL table.
kas.f2pool.com,1430,stratum+tcp,F2Pool,KAS,kHeavyHash,Global,official,https://f2pool.zendesk.com/hc/en-us/articles/360058887912-Mining-pools-info-payout-schemes-and-thresholds-at-f2pool,confirmed,active,2026-04-17,2026-04-17,Discovered by f2pool_pool_info using html_stratum_extract. Official multi-coin pool URL table.
kasssl.f2pool.com,1430,stratum+ssl,F2Pool,KAS,kHeavyHash,Global,official,https://f2pool.zendesk.com/hc/en-us/articles/360058887912-Mining-pools-info-payout-schemes-and-thresholds-at-f2pool,confirmed,active,2026-04-17,2026-04-17,Discovered by f2pool_pool_info using html_stratum_extract. Official multi-coin pool URL table.
ltc-asia.f2pool.com,3335,stratum+tcp,F2Pool,LTC,Scrypt,Asia,official,https://f2pool.zendesk.com/hc/en-us/articles/360058887912-Mining-pools-info-payout-schemes-and-thresholds-at-f2pool,confirmed,active,2026-04-17,2026-04-17,Discovered by f2pool_pool_info using html_stratum_extract. Official multi-coin pool URL table.
ltc-euro.f2pool.com,3335,stratum+tcp,F2Pool,LTC,Scrypt,Europe,official,https://f2pool.zendesk.com/hc/en-us/articles/360058887912-Mining-pools-info-payout-schemes-and-thresholds-at-f2pool,confirmed,active,2026-04-17,2026-04-17,Discovered by f2pool_pool_info using html_stratum_extract. Official multi-coin pool URL table.
ltc-na.f2pool.com,3335,stratum+tcp,F2Pool,LTC,Scrypt,North America,official,https://f2pool.zendesk.com/hc/en-us/articles/360058887912-Mining-pools-info-payout-schemes-and-thresholds-at-f2pool,confirmed,active,2026-04-17,2026-04-17,Discovered by f2pool_pool_info using html_stratum_extract. Official multi-coin pool URL table.
ltc.f2pool.com,8888,stratum+tcp,F2Pool,LTC,Scrypt,Global,official,https://f2pool.zendesk.com/hc/en-us/articles/360058887912-Mining-pools-info-payout-schemes-and-thresholds-at-f2pool,confirmed,active,2026-04-17,2026-04-17,Discovered by f2pool_pool_info using html_stratum_extract. Official multi-coin pool URL table.
ltcssl.f2pool.com,5201,stratum+ssl,F2Pool,LTC,Scrypt,Global,official,https://f2pool.zendesk.com/hc/en-us/articles/360058887912-Mining-pools-info-payout-schemes-and-thresholds-at-f2pool,confirmed,active,2026-04-17,2026-04-17,Discovered by f2pool_pool_info using html_stratum_extract. Official multi-coin pool URL table.
nexa.f2pool.com,3400,stratum+tcp,F2Pool,NEXA,NexaPoW,Global,official,https://f2pool.zendesk.com/hc/en-us/articles/360058887912-Mining-pools-info-payout-schemes-and-thresholds-at-f2pool,confirmed,active,2026-04-17,2026-04-17,Discovered by f2pool_pool_info using html_stratum_extract. Official multi-coin pool URL table.
sc.f2pool.com,7788,stratum+tcp,F2Pool,SC,Blake2b,Global,official,https://f2pool.zendesk.com/hc/en-us/articles/360058887912-Mining-pools-info-payout-schemes-and-thresholds-at-f2pool,confirmed,active,2026-04-17,2026-04-17,Discovered by f2pool_pool_info using html_stratum_extract. Official multi-coin pool URL table.
zec.f2pool.com,3357,stratum+tcp,F2Pool,ZEC,Equihash,Global,official,https://f2pool.zendesk.com/hc/en-us/articles/360058887912-Mining-pools-info-payout-schemes-and-thresholds-at-f2pool,confirmed,active,2026-04-17,2026-04-17,Discovered by f2pool_pool_info using html_stratum_extract. Official multi-coin pool URL table.
btc.global.luxor.tech,700,stratum+tcp,Luxor,BTC,SHA-256,Global,official,https://docs.luxor.tech/mining/getting-started,confirmed,active,2026-04-17,2026-04-17,Discovered by luxor_getting_started using html_stratum_extract. Official global stratum table.
ltc.global.luxor.tech,700,stratum+tcp,Luxor,LTC,Scrypt,Global,official,https://docs.luxor.tech/mining/getting-started,confirmed,active,2026-04-17,2026-04-17,Discovered by luxor_getting_started using html_stratum_extract. Official global stratum table.
sc.global.luxor.tech,700,stratum+tcp,Luxor,SC,Blake2b,Global,official,https://docs.luxor.tech/mining/getting-started,confirmed,active,2026-04-17,2026-04-17,Discovered by luxor_getting_started using html_stratum_extract. Official global stratum table.
zec.global.luxor.tech,700,stratum+tcp,Luxor,ZEC,Equihash,Global,official,https://docs.luxor.tech/mining/getting-started,confirmed,active,2026-04-17,2026-04-17,Discovered by luxor_getting_started using html_stratum_extract. Official global stratum table.
etchash.auto.nicehash.com,9200,stratum+tcp,NiceHash,AUTO,UNKNOWN,Global,aggregator,https://minerstat.com/help/how-to-set-up-nicehash-mining,candidate,unknown,2026-04-17,2026-04-17,Discovered by minerstat_nicehash_help using html_stratum_extract. Public aggregator/help source; outputs candidate records only.
asia.ravenminer.com,3838,stratum+tcp,RavenMiner,RVN,KawPoW,Asia,official,https://www.ravenminer.com/ravencoin/howto,confirmed,active,2026-04-17,2026-04-17,"Discovered by ravenminer_rvn_howto using html_stratum_extract. Official RVN setup guide with TCP, regional, static, and TLS ports."
eu.ravenminer.com,3838,stratum+tcp,RavenMiner,RVN,KawPoW,Europe,official,https://www.ravenminer.com/ravencoin/howto,confirmed,active,2026-04-17,2026-04-17,"Discovered by ravenminer_rvn_howto using html_stratum_extract. Official RVN setup guide with TCP, regional, static, and TLS ports."
stratum.ravenminer.com,3808,stratum+tcp,RavenMiner,RVN,KawPoW,Global,official,https://www.ravenminer.com/ravencoin/howto,confirmed,active,2026-04-17,2026-04-17,"Discovered by ravenminer_rvn_howto using html_stratum_extract. Official RVN setup guide with TCP, regional, static, and TLS ports."
stratum.ravenminer.com,3838,stratum+tcp,RavenMiner,RVN,KawPoW,Global,official,https://www.ravenminer.com/ravencoin/howto,confirmed,active,2026-04-17,2026-04-17,"Discovered by ravenminer_rvn_howto using html_stratum_extract. Official RVN setup guide with TCP, regional, static, and TLS ports."
stratum.ravenminer.com,13838,stratum+ssl,RavenMiner,RVN,KawPoW,Global,official,https://www.ravenminer.com/ravencoin/howto,confirmed,active,2026-04-17,2026-04-17,"Discovered by ravenminer_rvn_howto using html_stratum_extract. Official RVN setup guide with TCP, regional, static, and TLS ports."
us.ravenminer.com,3838,stratum+tcp,RavenMiner,RVN,KawPoW,USA,official,https://www.ravenminer.com/ravencoin/howto,confirmed,active,2026-04-17,2026-04-17,"Discovered by ravenminer_rvn_howto using html_stratum_extract. Official RVN setup guide with TCP, regional, static, and TLS ports."
